Threshold	NbPartitions	LogL	DF	AIC	BIC
0	1	-45437.4	42	90958.8	91184.8
0	2	-45425.8	43	90937.6	91169
0.00043565	4	-45392.9	45	90875.8	91117.9
0.0005796	5	-45388.1	46	90868.2	91115.7
0.0099014	7	-45381	48	90858	91116.3
0.133164	9	-45376.9	50	90853.7	91122.8
0.182436	12	-45370.9	53	90847.7	91132.9
0.421002	13	-45369.9	54	90847.8	91138.4
0.43695	15	-45369.2	56	90850.5	91151.8
0.499132	16	-45369.1	57	90852.2	91159
0.535892	17	-45366.8	58	90849.5	91161.6
0.535893	18	-45366.5	59	90850.9	91168.4
0.55597	20	-45362.7	61	90847.5	91175.7
0.607596	21	-45362.7	62	90849.4	91183.1
